name                            ,protocol,src_ips,src_ports,dst_ports,TP     ,FP,UP,TN     ,FN     ,UN
00631e77cb5c08e9d5e7673a73bcd887,UDP     ,18     ,1        ,123      ,1692041,0 ,0 ,1244171,0      ,15
020e498be5f87867d753a300e48b6eb3,UDP     ,3      ,1        ,45       ,3585544,0 ,0 ,1205147,0      ,11
0292e2d214e6c58dc2e463cc4281b1e4,TCP     ,6      ,1        ,1        ,5962920,0 ,0 ,382411 ,11411  ,5
05d8f0758a35f567a069a25b54cc2a22,UDP     ,225    ,6        ,1        ,2165154,0 ,0 ,1244171,0      ,27
06fd611bee580290adb83b5a2bc0f069,UDP     ,6      ,1        ,6        ,3960031,0 ,0 ,1140456,0      ,36
07047eb879829a0f00ba03fa1425a2ae,UDP     ,16     ,1        ,368      ,0      ,0 ,0 ,0      ,0      ,0
079c27d54c337110c12ae61ea3efe580,UDP     ,6      ,1        ,133      ,3116323,0 ,0 ,1244171,35413  ,14
0b605258e1a354f3552dd45b4dd3ba54,TCP     ,37     ,680      ,1        ,0      ,0 ,0 ,0      ,0      ,0
0d8119604993f414d5677ad5d12b5ccf,TCP     ,3882   ,3781     ,1        ,0      ,0 ,0 ,0      ,0      ,0
0da6d52ff78561c80db8f2ffca43d794,UDP     ,13     ,1        ,13       ,3212468,0 ,0 ,499976 ,218731 ,24
0e076318f6d00219ed9ce06eeb0045fa,TCP     ,2      ,1        ,1        ,8771012,0 ,0 ,568564 ,0      ,12
10c774e657315ee95dc8501cdfb7f3fa,UDP     ,15     ,1        ,350      ,1910671,0 ,0 ,1244171,0      ,30
13c4541923cb7f9f87a328ecea0e4b65,UDP     ,12     ,1        ,83       ,9183352,0 ,0 ,642109 ,279443 ,22
14c2e0338c67991010edb19bd3ad4b8b,UDP     ,7      ,1        ,7        ,4187991,0 ,0 ,1173621,0      ,9
16d4cc2995ab2c68bb2f14224222179e,TCP     ,4      ,4        ,1        ,2167   ,0 ,0 ,646831 ,9409264,21
17172f1765db1df8162e6083e79a7f05,UDP     ,109    ,16       ,1        ,1795896,0 ,0 ,1244171,0      ,6
190d042270655400a9d60d6ca87aca0f,UDP     ,16     ,1        ,16       ,4215106,0 ,0 ,825309 ,271439 ,13
1a2e433cfed7bde38732f0892fbbff27,UDP     ,8      ,1        ,8        ,3592577,0 ,0 ,691978 ,0      ,20
1f14abf0891dd4b866da7e0621430fbd,UDP     ,270    ,9        ,1        ,2095513,0 ,0 ,1244171,0      ,14
2130bfd08fae290ef08e562aefdb21b9,UDP     ,11     ,1        ,11       ,4011810,0 ,0 ,1100618,140561 ,23
21e08bf3cd571a2fdeec359798324263,TCP     ,137    ,4131     ,1        ,0      ,0 ,0 ,0      ,0      ,0
26d9ccb748258b7ffced4190fdaf32ad,UDP     ,84     ,1        ,84       ,3450894,0 ,0 ,1244171,58320  ,15
2bf238448118adaa7dc3695830b084af,UDP     ,24     ,1        ,292      ,1594618,0 ,0 ,1244171,0      ,8
2cfc6e2d2b3f746f290fa07cd5f00a36,TCP     ,1779   ,1999     ,1        ,0      ,0 ,0 ,0      ,0      ,0
2ea180355c6612d69993431075783e86,UDP     ,6      ,1        ,135      ,1873165,0 ,0 ,1244171,0      ,9
31dfe0457ff50ce9ed214c8a77e635c4,TCP     ,332    ,3784     ,1        ,0      ,0 ,0 ,0      ,0      ,0
