name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP    ,UP,TN     ,FN     ,UN
00631e77cb5c08e9d5e7673a73bcd887,UDP     ,18   ,1    ,123  ,18 ,1  ,123,1057526,0     ,0 ,3135266,0      ,17
020e498be5f87867d753a300e48b6eb3,UDP     ,3    ,1    ,45   ,3  ,1  ,45 ,2223234,0     ,0 ,3005704,0      ,8
0292e2d214e6c58dc2e463cc4281b1e4,TCP     ,6    ,1    ,1    ,6  ,1  ,1  ,5478369,0     ,0 ,879671 ,10728  ,5
02ca4f902b395e0fa10d56b7a1a70a9f,TCP     ,7567 ,7154 ,1    ,797,1  ,1  ,8799772,12711 ,0 ,1559518,1145   ,7
05d8f0758a35f567a069a25b54cc2a22,UDP     ,225  ,6    ,1    ,225,6  ,1  ,1337768,0     ,0 ,3135266,0      ,9
06fd611bee580290adb83b5a2bc0f069,UDP     ,6    ,1    ,6    ,6  ,1  ,6  ,2700916,0     ,0 ,3135266,0      ,15
07047eb879829a0f00ba03fa1425a2ae,UDP     ,16   ,1    ,368  ,16 ,1  ,368,0      ,0     ,0 ,0      ,0      ,0
07643f4c01920d5130226ed9f19d4b1e,TCP     ,21437,18220,1    ,309,160,1  ,8473382,12689 ,6 ,1477887,0      ,11
079c27d54c337110c12ae61ea3efe580,UDP     ,6    ,1    ,133  ,6  ,1  ,133,1947714,0     ,0 ,3135266,22133  ,31
0894623296ecae40349eff74e4fa1f1f,TCP     ,6990 ,6647 ,1    ,874,23 ,1  ,7640970,10843 ,0 ,1328428,1110   ,10
0ac695f2b205e619618265f72b69ff2a,TCP     ,8314 ,7801 ,1    ,741,203,1  ,8768649,13029 ,6 ,1514315,2148   ,14
0b605258e1a354f3552dd45b4dd3ba54,TCP     ,37   ,680  ,1    ,37 ,680,1  ,0      ,0     ,0 ,0      ,0      ,0
0bf9e1720d3a65a4310458f8e4f170cf,TCP     ,20474,17555,1    ,313,157,1  ,8845400,13379 ,0 ,1545204,2202   ,12
